WQ_Station_Name,Location_name,REEF_NAME,Vessel,LogReg/Trip_ID,Collection_method,Latitude,Longitude,Sample_date,Sample_collection_start,Swell_direction,Swell_height,Wind_direction,Wind_speed
MBM001,McSweeney,MCSWEENEY REEF,RV Solander,7297,Diving,-11.0198,143.24783,23/11/2019,16:45:00,,,,12
MBM002,Monsoon,MONSOON REEF,RV Solander,7297,Diving,-11.12721,143.26387,24/11/2019,17:00:00,,,,
MBM003,11-049,11-049,RV Solander,7297,Diving,-11.35312,143.32346,25/11/2019,14:51:00,,,,10
MBM004,11-162,11-162,RV Solander,7297,Diving,-11.59805,143.29448,27/11/2019,14:00:00,,,,5
MBM005,Mantis,MANTIS REEF,RV Solander,7297,Diving,-12.3457,143.8674,30/11/2019,15:00:00,,,,16
MBM006,Lagoon,LAGOON REEF,RV Solander,7297,Diving,-12.38134,143.75682,1/12/2019,15:00:00,,,,10
MBM007,Davie,DAVIE REEF,RV Solander,7297,Diving,-13.96599,144.44693,5/12/2019,15:00:00,,,,
MBM008,Corbett,CORBETT REEF,RV Solander,7297,Diving,-13.92542,144.24026,6/12/2019,16:55:00,,,,
MBM009,13-124,13-124,RV Solander,7297,Diving,-13.8559,144.09326,9/12/2019,14:45:00,,,,25
MBM010,Sand Bank,SANDBANK 1 REEF,RV Solander,7297,Diving,-14.20223,144.87929,11/12/2019,14:36:00,,,,20
MBM011,St Crispin,ST CRISPIN REEF,RV Solander,7297,Diving,-16.07261,145.84686,13/12/2019,15:00:00,,,,
MBM012,Fairfax Islands,FAIRFAX REEF,RV Solander,7299,Diving,-23.86598,152.35922,4/01/2020,15:10:00,,,,
MBM013,Hoskyn Islands,HOSKYN REEF,RV Solander,7299,Diving,-23.80801,152.2836,5/01/2020,16:02:00,,,,
MBM014,Boult,BOULT REEF,RV Solander,7299,Diving,-23.76276,152.25743,7/01/2020,16:20:00,,,,
MBM015,Mast Head Island,MASTHEAD REEF,RV Solander,7299,Diving,-23.53219,151.72284,8/01/2020,16:50:00,,,,
MBM016,Erskine,ERSKINE REEF,RV Solander,7299,Diving,-23.504,151.77,9/01/2020,16:48:00,,,,
MBM017,Broomfield,BROOMFIELD REEF,RV Solander,7299,Diving,-23.2657,151.9245,10/01/2020,15:20:00,,,,
MBM018,21-550,21-550,RV Solander,7299,Diving,-21.96005,152.31361,13/01/2020,15:20:00,,,,
MBM019,22-084,22-084,RV Solander,7299,Diving,-21.99809,152.46706,14/01/2020,16:24:00,,,135,10
MBM020,Chinaman,CHINAMAN REEF,RV Solander,7299,Diving,-21.99904,152.65945,16/01/2020,16:24:00,,,,0
MBM021,21-580,21-580,RV Solander,7299,Diving,-21.94489,152.58116,18/01/2020,15:38:00,,,,0
MBM022,Small Lagoon,SMALL LAGOON REEF,RV Solander,7299,Diving,-21.86969,152.50674,20/01/2020,15:50:00,,,,
MBM023,North Reef Island,NORTH REEF,RV Solander,7299,Diving,-23.1775,151.9040833,21/01/2020,16:10:00,,,,
MBM024,Agincourt No 1,AGINCOURT REEF,RV Cape Ferguson,7320,Diving,-16.04517,145.86415,8/02/2020,16:10:00,,0,,5
MBM025,Hastings,HASTINGS REEF,RV Cape Ferguson,7320,Diving,-16.50097,146.0159,12/02/2020,16:35:00,90,1,337.5,15
MBM026,Arlington,ARLINGTON REEF,RV Cape Ferguson,7320,Diving,-16.63941,146.1028,13/02/2020,17:45:00,90,1,45.5,15
MBM027,Thetford,THETFORD REEF,RV Cape Ferguson,7320,Diving,-16.79893,146.19447,15/02/2020,16:15:00,90,1,45.5,10
MBM028,Moore,MOORE REEF,RV Cape Ferguson,7320,Diving,-16.8474,146.23148,16/02/2020,15:45:00,45.5,0.5,45.5,3
MBM029,Hedley,HEDLEY REEF,RV Cape Ferguson,7320,Diving,-17.22383,146.47433,19/02/2020,16:45:00,,0,,0
MBM030,McCulloch,MCCULLOCH REEF,RV Cape Ferguson,7320,Diving,-17.20274,146.47807,20/02/2020,15:43:00,,0,,0
MBM031,Peart,PEART REEF,RV Cape Ferguson,7320,Diving,-17.46753,146.40219,21/02/2020,16:30:00,,0,90,5
MBM032,Feather,FEATHER REEF,RV Cape Ferguson,7320,Diving,-17.57812,146.38676,23/02/2020,16:58:00,225,0.4,45.5,8
MBM033,Farquharson,FARQUAHARSON REEF,RV Cape Ferguson,7320,Diving,-17.7896,146.53186,24/02/2020,15:54:00,67.5,0.4,67.5,10
MBM034,Taylor,TAYLOR REEF,RV Cape Ferguson,7320,Diving,-17.81295,146.56712,25/02/2020,15:58:00,,0,,0
MBM035,Little Kelso,LITTLE KELSO REEF,RV Solander,7430,Boat,-18.46025,147.0015333,8/07/2020,15:45:00,,,135,15
MBM036,Kelso,KELSO REEF,RV Solander,7430,Boat,-18.4200833,146.9905167,9/07/2020,08:30:00,,,135,15
MBM037,Roxburgh,ROXBURGH REEF,RV Solander,7430,Boat,-18.4282333,147.0595833,9/07/2020,14:15:00,,1,135,15
MBM038,Fore And Aft,FORE AND AFT REEF,RV Solander,7430,Boat,-18.4738667,147.0547167,10/07/2020,08:15:00,112.5,1,135,15
MBM039,Rib,RIB REEF,RV Solander,7430,Boat,-18.4718667,146.8787,10/07/2020,14:00:00,,1,135,15
MBM040,John Brewer,JOHN BREWER REEF,RV Solander,7430,Boat,-18.6188833,147.0816167,11/07/2020,07:50:00,,1,135,15
MBM041,Myrmidon,MYRMIDON REEF,RV Solander,7430,Boat,-18.2542167,147.38585,12/07/2020,07:45:00,,1,135,10
MBM042,Chicken,CHICKEN REEF,RV Solander,7430,Boat,-18.6518333,147.722,13/07/2020,07:50:00,,1,135,15
MBM043,Knife,KNIFE REEF,RV Solander,7430,Boat,-18.5708667,147.57725,14/07/2020,07:45:00,,1,135,20
MBM044,Fork,FORK REEF,RV Solander,7430,Boat,-18.60525,147.56995,14/07/2020,13:40:00,,1,135,15
MBM045,Lynch,LYNCH REEF,RV Solander,7430,Boat,-18.7315833,147.7219333,15/07/2020,08:00:00,,1,135,10
MBM046,Centipede,CENTIPEDE REEF,RV Solander,7430,Boat,-18.7350833,147.5527333,16/07/2020,07:40:00,,1,135,10
MBM047,Grub,GRUB REEF,RV Solander,7430,Boat,-18.6216333,147.4327167,16/07/2020,14:20:00,,0.5,135,10
MBM048,Helix,HELIX REEF,RV Solander,7430,Boat,-18.6199167,147.2979667,17/07/2020,07:45:00,,0.5,135,10
